,Category,Count_Total,Total_views_all,Avg_ratings_all
0,3D,40.0,2807189.0,23.883333333333336
1,60fps,315.0,118646399.0,74.53726263994955
2,69,501.0,81423980.0,77.06358768406962
3,Amateur,76886.0,25613377060.0,61.41538121096708
4,Anal,33894.0,11806648640.0,77.9664993809605
5,Animated,134.0,11882490.0,68.2221269296741
6,Arab,1778.0,1006316721.0,74.94500615146377
7,Asian,17264.0,5756500703.0,75.13459553309958
8,BBC,17.0,6806566.0,76.09401709401709
9,BBW,5057.0,1770714279.0,73.44180955148697
10,BDSM,2542.0,771501858.0,0.0
11,Babes,20744.0,7739066819.0,38.84461856380769
12,Babysitter,611.0,615217365.0,38.24976471414524
13,Bareback,879.0,26749610.0,70.21013980581536
14,Bathroom,685.0,71498451.0,75.15694444444445
15,Beach,1068.0,420333000.0,71.5
16,Bear,1.0,146340.0,26.333333333333332
17,Behind The Scenes,591.0,133282881.0,71.47887495037989
18,Big Ass,9668.0,4835685152.0,77.77071050695412
19,Big Boobs,35126.0,13309635580.0,39.03930273794523
20,Big Dick,10546.0,4325148782.0,76.29645445966149
21,Bikini,313.0,34903675.0,76.15132694299761
22,Bisexual,761.0,231814474.0,37.57575757575757
23,Black,4152.0,1476013044.0,25.92826734780758
24,Black-haired,3797.0,463281307.0,79.40312880946306
25,Blonde,23684.0,6732509784.0,38.90536331490362
26,Blowjob,24491.0,6332590078.0,38.66938160190491
27,Bondage,2300.0,717486818.0,72.4042528447415
28,Boots,136.0,11060103.0,75.37845616198992
29,Brazilian,827.0,297257810.0,77.56762465289047
30,British,1815.0,629141356.0,74.54278877684867
31,Brunette,21557.0,6568149677.0,38.882212840702444
32,Bukkake,1015.0,305757801.0,76.16846679586276
33,CFNM,244.0,13111247.0,65.73562003298845
34,Car,200.0,13857829.0,77.73610294117647
35,Cartoon,382.0,122938072.0,37.18446226975639
36,Casting,880.0,469635853.0,75.65990281061204
37,Caucasian,8638.0,870610639.0,78.19231299694611
38,Celebrities,2157.0,989326676.0,36.08304673685745
39,Censored,203.0,8596826.0,60.33515097050656
40,Chinese,97.0,31054116.0,0.0
41,Chubby,436.0,10285617.0,67.35233481900896
42,Close-ups,1337.0,481400471.0,0.0
43,College,1316.0,837936862.0,76.30339341333978
44,Compilation,4418.0,2920647355.0,76.82035081912466
45,Cosplay,284.0,133828631.0,75.92751487921578
46,Cougar,1.0,271882.0,27.333333333333332
47,Couple,9408.0,458448910.0,67.64266090267807
48,Cowgirl,2.0,490413.0,56.333333333333336
49,Creampie,4932.0,2594746823.0,75.61555264421855
50,Cuckold,1842.0,640118788.0,72.97445535296868
51,Cumshots,13400.0,5031514765.0,77.49926818657768
52,Czech,970.0,364876569.0,74.72280148338065
53,Danish,76.0,22801396.0,0.0
54,Deepthroat,93.0,4952473.0,67.52844551282051
55,Described Video,49.0,19416570.0,69.2125626566416
56,Doctor,2.0,108884.0,24.333333333333332
57,Doggy Style,1.0,35947.0,26.333333333333332
58,Domination,132.0,5330734.0,63.384268649988734
59,Double Penetration,4864.0,1836404520.0,79.17798531537255
60,Ebony,5104.0,2193620883.0,76.7584241443143
61,Emo,93.0,25314787.0,0.0
62,Euro,6018.0,2083512170.0,78.34523680239776
63,Exclusive,5228.0,2586760720.0,77.26875707541939
